IDReef,Reef
1,AG_ANIMAS
3,AG_ESTANQUE
6,AG_PARTIDA_GILLIGAN
8,AG_REFUGIO_NORTE
16,CHOROS
20,DON_JUAN
27,RACITO
28,SALSIPUEDES
34,SAN_ESTEBAN_SUR
36,SAN_PEDRO_MARTIR_PINACULOS
39,SAN_PEDRO_MARTIR_PUNTA_NORTE
45,VENTANA
75,BURROS
79,HABANA
81,ISLOTE_AGUA_VERDE
88,PARDITO_CAYO
99,REFUGIO_SAN_MARCIAL
105,SAN_FRANCISCO_PUNTA_NORTE_FARO
106,SAN_FRANCISCO_PUNTA_SUR
111,SAN_JOSE_ANIMAS_PINACULOS
117,SANTA_CRUZ_SUR
147,ESPIRITU_SANTO_BALLENA
157,ESPIRITU_SANTO_ISLOTES_NORTE
159,ESPIRITU_SANTO_PAILEBOTE
164,ESPIRITU_SANTO_SOANY
193,CARMEN_ABISMO
210,CATALANA_PUNTA_OESTE
211,CATALANA_PUNTA_SUR
230,MONSERRAT_GALERAS_ESTE
273,PULPITO
274,SAN_ILDEFONSO
275,SAN_MARCOS_ESTE
452,SAN_MARCOS_PUNTA_SUR
278,TORTUGA_PUNTA_SUR
454,ANGEL_DE_LA_GUARDA_CANDILES_GUADALUPE
337,PUNTA_DIABLO_ANGEL_GUARDA
156,ESPIRITU_SANTO_ISLOTES_ESTE
181,CERRALVO_REINA
202,CARMEN_PUNTA_PERICO
215,CORONADO_PUNTA_BLANCA
216,DANZANTE_BIZNAGA
455,DANZANTE_PUNTA_SUR_ESTE
54,BAJO_CABO_PULMO
57,CANTIL_MEDIO
67,MORROS_CABO_PULMO
