Label,IDSize,Size
INV,a,2
INV,b,4
INV,c,6
INV,d,8
INV,e,10
INV,f,12
INV,g,14
INV,h,16
INV,i,18
INV,j,20
INV,k,22
INV,l,24
INV,m,26
INV,n,28
INV,o,30
INV,p,32
INV,q,34
INV,r,36
INV,s,38
INV,t,40
INV,u,42
INV,v,44
INV,w,46
INV,x,48
INV,y,50
INV,z,52
INV,a',54
INV,b',56
INV,c',58
INV,d',60
INV,e',62
INV,f',64
INV,g',66
INV,h',68
INV,i',70
INV,j',72
INV,k',74
INV,l',76
INV,m',78
INV,n',80
INV,o',82
INV,p',84
INV,q',86
INV,r',88
INV,s',90
INV,t',92
INV,u',94
INV,v',96
INV,w',98
INV,x',100
INV,y',102
INV,z',104
PEC,A,5
PEC,B,10
PEC,C,15
PEC,D,20
PEC,E,25
PEC,F,30
PEC,G,35
PEC,H,40
PEC,I,45
PEC,J,50
PEC,K,55
PEC,L,60
PEC,M,65
PEC,N,70
PEC,O,75
PEC,P,80
PEC,Q,85
PEC,R,90
PEC,S,95
PEC,T,100
PEC,U,105
PEC,V,110
PEC,W,115
PEC,X,120
PEC,Y,125
PEC,Z,130
PEC,A',135
PEC,B',140
PEC,C',150
PEC,D',155
PEC,E',160
PEC,F',165
PEC,G',170
PEC,H',175
PEC,I',180
PEC,J',185
PEC,K',190
PEC,L',195
PEC,M',200
